Row ID	Order ID	Order Date	Ship Date	Ship Mode	Customer ID	Customer Name	Segment	Country/Region	City	State	Postal Code	Region	Product ID	Category	Sub-Category	Product Name	Sales	Quantity	Discount	Profit	Cost Price (NOT unit price)
11	CA-2017-115812	6/9/2017	6/14/2017	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	FUR-TA-10001539	Furniture	Tables	Chromcraft Rectangular Conference Tables	1706.184	9	0.2	85.3092	1620.8748
12	CA-2017-115812	6/9/2017	6/14/2017	Standard Class	BH-11710	Brosina Hoffman	Consumer	United States	Los Angeles	California	90032	West	TEC-PH-10002033	Technology	Phones	Konftel 250 Conference phone - Charcoal black	911.424	4	0.2	68.3568	843.0672
13	CA-2020-114412	4/15/2020	4/20/2020	Standard Class	AA-10480	Andrew Allen	Consumer	United States	Concord	North Carolina	28027	South	OFF-PA-10002365	Office Supplies	Paper	Xerox 1967	15.552	3	0.2	5.4432	10.1088
14	CA-2019-161389	12/5/2019	12/10/2019	Standard Class	IM-15070	Irene Maddox	Consumer	United States	Seattle	Washington	98103	West	OFF-BI-10003656	Office Supplies	Binders	Fellowes PB200 Plastic Comb Binding Machine	407.976	3	0.2	132.5922	275.3838
15	US-2018-118983	11/22/2018	11/26/2018	Standard Class	HP-14815	Harold Pawlan	Home Office	United States	Fort Worth	Texas	76106	Central	OFF-AP-10002311	Office Supplies	Appliances	"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"	68.81	5	0.8	-123.858	192.668
16	US-2018-118983	11/22/2018	11/26/2018	Standard Class	HP-14815	Harold Pawlan	Home Office	United States	Fort Worth	Texas	76106	Central	OFF-BI-10000756	Office Supplies	Binders	Storex DuraTech Recycled Plastic Frosted Binders	2.544	3	0.8	-3.816	6.36
17	CA-2017-105893	11/11/2017	11/18/2017	Standard Class	PK-19075	Pete Kriz	Consumer	United States	Madison	Wisconsin	53711	Central	OFF-ST-10004186	Office Supplies	Storage	"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"	665.88	6	0	13.3176	652.5624
18	CA-2017-167164	5/13/2017	5/15/2017	Second Class	AG-10270	Alejandro Grove	Consumer	United States	West Jordan	Utah	84084	West	OFF-ST-10000107	Office Supplies	Storage	Fellowes Super Stor/Drawer	55.5	2	0	9.99	45.51
19	CA-2017-143336	8/27/2017	9/1/2017	Second Class	ZD-21925	Zuschuss Donatelli	Consumer	United States	San Francisco	California	94109	West	OFF-AR-10003056	Office Supplies	Art	Newell 341	8.56	2	0	2.4824	6.0776
20	CA-2017-143336	8/27/2017	9/1/2017	Second Class	ZD-21925	Zuschuss Donatelli	Consumer	United States	San Francisco	California	94109	West	TEC-PH-10001949	Technology	Phones	Cisco SPA 501G IP Phone	213.48	3	0.2	16.011	197.469
21	CA-2017-143336	8/27/2017	9/1/2017	Second Class	ZD-21925	Zuschuss Donatelli	Consumer	United States	San Francisco	California	94109	West	OFF-BI-10002215	Office Supplies	Binders	"Wilson Jones Hanging View Binder, White, 1"""	22.72	4	0.2	7.384	15.336
22	CA-2019-137330	12/9/2019	12/13/2019	Standard Class	KB-16585	Ken Black	Corporate	United States	Fremont	Nebraska	68025	Central	OFF-AR-10000246	Office Supplies	Art	Newell 318	19.46	7	0	5.0596	14.4004
23	CA-2019-137330	12/9/2019	12/13/2019	Standard Class	KB-16585	Ken Black	Corporate	United States	Fremont	Nebraska	68025	Central	OFF-AP-10001492	Office Supplies	Appliances	"Acco Six-Outlet Power Strip, 4' Cord Length"	60.34	7	0	15.6884	44.6516
24	US-2020-156909	7/16/2020	7/18/2020	Second Class	SF-20065	Sandra Flanagan	Consumer	United States	Philadelphia	Pennsylvania	19140	East	FUR-CH-10002774	Furniture	Chairs	"Global Deluxe Stacking Chair, Gray"	71.372	2	0.3	-1.0196	72.3916
25	CA-2018-106320	9/25/2018	9/30/2018	Standard Class	EB-13870	Emily Burns	Consumer	United States	Orem	Utah	84057	West	FUR-TA-10000577	Furniture	Tables	Bretford CR4500 Series Slim Rectangular Table	1044.63	3	0	240.2649	804.3651
26	CA-2019-121755	1/16/2019	1/20/2019	Second Class	EH-13945	Eric Hoffmann	Consumer	United States	Los Angeles	California	90049	West	OFF-BI-10001634	Office Supplies	Binders	Wilson Jones Active Use Binders	11.648	2	0.2	4.2224	7.4256
27	CA-2019-121755	1/16/2019	1/20/2019	Second Class	EH-13945	Eric Hoffmann	Consumer	United States	Los Angeles	California	90049	West	TEC-AC-10003027	Technology	Accessories	Imation 8GB Mini TravelDrive USB 2.0 Flash Drive	90.57	3	0	11.7741	78.7959
28	US-2018-150630	9/17/2018	9/21/2018	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	FUR-BO-10004834	Furniture	Bookcases	"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"	3083.43	7	0.5	-1665.0522	4748.4822
29	US-2018-150630	9/17/2018	9/21/2018	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-BI-10000474	Office Supplies	Binders	Avery Recycled Flexi-View Covers for Binding Systems	9.618	2	0.7	-7.0532	16.6712
30	US-2018-150630	9/17/2018	9/21/2018	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	FUR-FU-10004848	Furniture	Furnishings	"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"	124.2	3	0.2	15.525	108.675
31	US-2018-150630	9/17/2018	9/21/2018	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-EN-10001509	Office Supplies	Envelopes	Poly String Tie Envelopes	3.264	2	0.2	1.1016	2.1624
32	US-2018-150630	9/17/2018	9/21/2018	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-AR-10004042	Office Supplies	Art	"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"	86.304	6	0.2	9.7092	76.5948
33	US-2018-150630	9/17/2018	9/21/2018	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-BI-10001525	Office Supplies	Binders	"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"	6.858	6	0.7	-5.715	12.573
34	US-2018-150630	9/17/2018	9/21/2018	Standard Class	TB-21520	Tracy Blumstein	Consumer	United States	Philadelphia	Pennsylvania	19140	East	OFF-AR-10001683	Office Supplies	Art	Lumber Crayons	15.76	2	0.2	3.546	12.214
35	CA-2020-107727	10/19/2020	10/23/2020	Second Class	MA-17560	Matt Abelman	Home Office	United States	Houston	Texas	77095	Central	OFF-PA-10000249	Office Supplies	Paper	Easy-staple paper	29.472	3	0.2	9.9468	19.5252
36	CA-2019-117590	12/8/2019	12/10/2019	First Class	GH-14485	Gene Hale	Corporate	United States	Richardson	Texas	75080	Central	TEC-PH-10004977	Technology	Phones	GE 30524EE4	1097.544	7	0.2	123.4737	974.0703
37	CA-2019-117590	12/8/2019	12/10/2019	First Class	GH-14485	Gene Hale	Corporate	United States	Richardson	Texas	75080	Central	FUR-FU-10003664	Furniture	Furnishings	"Electrix Architect's Clamp-On Swing Arm Lamp, Black"	190.92	5	0.6	-147.963	338.883
38	CA-2018-117415	12/27/2018	12/31/2018	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	OFF-EN-10002986	Office Supplies	Envelopes	"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"	113.328	9	0.2	35.415	77.913
39	CA-2018-117415	12/27/2018	12/31/2018	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	FUR-BO-10002545	Furniture	Bookcases	"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"	532.3992	3	0.32	-46.9764	579.3756
40	CA-2018-117415	12/27/2018	12/31/2018	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	FUR-CH-10004218	Furniture	Chairs	"Global Fabric Manager's Chair, Dark Gray"	212.058	3	0.3	-15.147	227.205
41	CA-2018-117415	12/27/2018	12/31/2018	Standard Class	SN-20710	Steve Nguyen	Home Office	United States	Houston	Texas	77041	Central	TEC-PH-10000486	Technology	Phones	Plantronics HL10 Handset Lifter	371.168	4	0.2	41.7564	329.4116
42	CA-2020-120999	9/10/2020	9/15/2020	Standard Class	LC-16930	Linda Cazamias	Corporate	United States	Naperville	Illinois	60540	Central	TEC-PH-10004093	Technology	Phones	Panasonic Kx-TS550	147.168	4	0.2	16.5564	130.6116
43	CA-2019-101343	7/17/2019	7/22/2019	Standard Class	RA-19885	Ruben Ausman	Corporate	United States	Los Angeles	California	90049	West	OFF-ST-10003479	Office Supplies	Storage	"Eldon Base for stackable storage shelf, platinum"	77.88	2	0	3.894	73.986
44	CA-2020-139619	9/19/2020	9/23/2020	Standard Class	ES-14080	Erin Smith	Corporate	United States	Melbourne	Florida	32935	South	OFF-ST-10003282	Office Supplies	Storage	"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"	95.616	2	0.2	9.5616	86.0544
45	CA-2019-118255	3/11/2019	3/13/2019	First Class	ON-18715	Odella Nelson	Corporate	United States	Eagan	Minnesota	55122	Central	TEC-AC-10000171	Technology	Accessories	"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"	45.98	2	0	19.7714	26.2086
46	CA-2019-118255	3/11/2019	3/13/2019	First Class	ON-18715	Odella Nelson	Corporate	United States	Eagan	Minnesota	55122	Central	OFF-BI-10003291	Office Supplies	Binders	Wilson Jones Leather-Like Binders with DublLock Round Rings	17.46	2	0	8.2062	9.2538
47	CA-2017-146703	10/20/2017	10/25/2017	Second Class	PO-18865	Patrick O'Donnell	Consumer	United States	Westland	Michigan	48185	Central	OFF-ST-10001713	Office Supplies	Storage	"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"	211.96	4	0	8.4784	203.4816
48	CA-2019-169194	6/20/2019	6/25/2019	Standard Class	LH-16900	Lena Hernandez	Consumer	United States	Dover	Delaware	19901	East	TEC-AC-10002167	Technology	Accessories	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	45	3	0	4.95	40.05
49	CA-2019-169194	6/20/2019	6/25/2019	Standard Class	LH-16900	Lena Hernandez	Consumer	United States	Dover	Delaware	19901	East	TEC-PH-10003988	Technology	Phones	"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"	21.8	2	0	6.104	15.696
50	CA-2018-115742	4/18/2018	4/22/2018	Standard Class	DP-13000	Darren Powers	Consumer	United States	New Albany	Indiana	47150	Central	OFF-BI-10004410	Office Supplies	Binders	"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"	38.22	6	0	17.9634	20.2566
51	CA-2018-115742	4/18/2018	4/22/2018	Standard Class	DP-13000	Darren Powers	Consumer	United States	New Albany	Indiana	47150	Central	OFF-LA-10002762	Office Supplies	Labels	Avery 485	75.18	6	0	35.3346	39.8454
52	CA-2018-115742	4/18/2018	4/22/2018	Standard Class	DP-13000	Darren Powers	Consumer	United States	New Albany	Indiana	47150	Central	FUR-FU-10001706	Furniture	Furnishings	Longer-Life Soft White Bulbs	6.16	2	0	2.9568	3.2032
53	CA-2018-115742	4/18/2018	4/22/2018	Standard Class	DP-13000	Darren Powers	Consumer	United States	New Albany	Indiana	47150	Central	FUR-CH-10003061	Furniture	Chairs	"Global Leather Task Chair, Black"	89.99	1	0	17.0981	72.8919
54	CA-2019-105816	12/11/2019	12/17/2019	Standard Class	JM-15265	Janet Molinari	Corporate	United States	New York City	New York	10024	East	OFF-FA-10000304	Office Supplies	Fasteners	Advantus Push Pins	15.26	7	0	6.2566	9.0034
55	CA-2019-105816	12/11/2019	12/17/2019	Standard Class	JM-15265	Janet Molinari	Corporate	United States	New York City	New York	10024	East	TEC-PH-10002447	Technology	Phones	AT&T CL83451 4-Handset Telephone	1029.95	5	0	298.6855	731.2645
56	CA-2019-111682	6/17/2019	6/18/2019	First Class	TB-21055	Ted Butterfield	Consumer	United States	Troy	New York	12180	East	OFF-ST-10000604	Office Supplies	Storage	Home/Office Personal File Carts	208.56	6	0	52.14	156.42
57	CA-2019-111682	6/17/2019	6/18/2019	First Class	TB-21055	Ted Butterfield	Consumer	United States	Troy	New York	12180	East	OFF-PA-10001569	Office Supplies	Paper	Xerox 232	32.4	5	0	15.552	16.848
58	CA-2019-111682	6/17/2019	6/18/2019	First Class	TB-21055	Ted Butterfield	Consumer	United States	Troy	New York	12180	East	FUR-CH-10003968	Furniture	Chairs	Novimex Turbo Task Chair	319.41	5	0.1	7.098	312.312
59	CA-2019-111682	6/17/2019	6/18/2019	First Class	TB-21055	Ted Butterfield	Consumer	United States	Troy	New York	12180	East	OFF-PA-10000587	Office Supplies	Paper	"Array Parchment Paper, Assorted Colors"	14.56	2	0	6.9888	7.5712
60	CA-2019-111682	6/17/2019	6/18/2019	First Class	TB-21055	Ted Butterfield	Consumer	United States	Troy	New York	12180	East	TEC-AC-10002167	Technology	Accessories	Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive	30	2	0	3.3	26.7
61	CA-2019-111682	6/17/2019	6/18/2019	First Class	TB-21055	Ted Butterfield	Consumer	United States	Troy	New York	12180	East	OFF-BI-10001460	Office Supplies	Binders	Plastic Binding Combs	48.48	4	0.2	16.362	32.118
62	CA-2019-111682	6/17/2019	6/18/2019	First Class	TB-21055	Ted Butterfield	Consumer	United States	Troy	New York	12180	East	OFF-AR-10001868	Office Supplies	Art	Prang Dustless Chalk Sticks	1.68	1	0	0.84	0.84
63	CA-2018-135545	11/24/2018	11/30/2018	Standard Class	KM-16720	Kunst Miller	Consumer	United States	Los Angeles	California	90004	West	TEC-AC-10004633	Technology	Accessories	"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"	13.98	2	0	6.1512	7.8288
64	CA-2018-135545	11/24/2018	11/30/2018	Standard Class	KM-16720	Kunst Miller	Consumer	United States	Los Angeles	California	90004	West	OFF-BI-10001078	Office Supplies	Binders	"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""	25.824	6	0.2	9.3612	16.4628
65	CA-2018-135545	11/24/2018	11/30/2018	Standard Class	KM-16720	Kunst Miller	Consumer	United States	Los Angeles	California	90004	West	OFF-PA-10003892	Office Supplies	Paper	Xerox 1943	146.73	3	0	68.9631	77.7669
66	CA-2018-135545	11/24/2018	11/30/2018	Standard Class	KM-16720	Kunst Miller	Consumer	United States	Los Angeles	California	90004	West	FUR-FU-10000397	Furniture	Furnishings	Luxo Economy Swing Arm Lamp	79.76	4	0	22.3328	57.4272
67	US-2018-164175	4/30/2018	5/5/2018	Standard Class	PS-18970	Paul Stevenson	Home Office	United States	Chicago	Illinois	60610	Central	FUR-CH-10001146	Furniture	Chairs	"Global Value Mid-Back Manager's Chair, Gray"	213.115	5	0.3	-15.2225	228.3375
68	CA-2017-106376	12/5/2017	12/10/2017	Standard Class	BS-11590	Brendan Sweed	Corporate	United States	Gilbert	Arizona	85234	West	OFF-AR-10002671	Office Supplies	Art	"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"	1113.024	8	0.2	111.3024	1001.7216
69	CA-2017-106376	12/5/2017	12/10/2017	Standard Class	BS-11590	Brendan Sweed	Corporate	United States	Gilbert	Arizona	85234	West	TEC-PH-10002726	Technology	Phones	netTALK DUO VoIP Telephone Service	167.968	4	0.2	62.988	104.98
70	CA-2019-119823	6/4/2019	6/6/2019	First Class	KD-16270	Karen Daniels	Consumer	United States	Springfield	Virginia	22153	South	OFF-PA-10000482	Office Supplies	Paper	"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"	75.88	2	0	35.6636	40.2164
71	CA-2019-106075	9/18/2019	9/23/2019	Standard Class	HM-14980	Henry MacAllister	Consumer	United States	New York City	New York	10009	East	OFF-BI-10004654	Office Supplies	Binders	Avery Binding System Hidden Tab Executive Style Index Sets	4.616	1	0.2	1.731	2.885
72	CA-2020-114440	9/14/2020	9/17/2020	Second Class	TB-21520	Tracy Blumstein	Consumer	United States	Jackson	Michigan	49201	Central	OFF-PA-10004675	Office Supplies	Paper	"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""	19.05	3	0	8.763	10.287
73	US-2018-134026	4/26/2018	5/2/2018	Standard Class	JE-15745	Joel Eaton	Consumer	United States	Memphis	Tennessee	38109	South	FUR-CH-10000513	Furniture	Chairs	High-Back Leather Manager's Chair	831.936	8	0.2	-114.3912	946.3272
74	US-2018-134026	4/26/2018	5/2/2018	Standard Class	JE-15745	Joel Eaton	Consumer	United States	Memphis	Tennessee	38109	South	FUR-FU-10003708	Furniture	Furnishings	"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""	97.04	2	0.2	1.213	95.827
75	US-2018-134026	4/26/2018	5/2/2018	Standard Class	JE-15745	Joel Eaton	Consumer	United States	Memphis	Tennessee	38109	South	OFF-ST-10004123	Office Supplies	Storage	Safco Industrial Wire Shelving System	72.784	1	0.2	-18.196	90.98
76	US-2020-118038	12/9/2020	12/11/2020	First Class	KB-16600	Ken Brennan	Corporate	United States	Houston	Texas	77041	Central	OFF-BI-10004182	Office Supplies	Binders	Economy Binders	1.248	3	0.8	-1.9344	3.1824
77	US-2020-118038	12/9/2020	12/11/2020	First Class	KB-16600	Ken Brennan	Corporate	United States	Houston	Texas	77041	Central	FUR-FU-10000260	Furniture	Furnishings	"6"" Cubicle Wall Clock, Black"	9.708	3	0.6	-5.8248	15.5328
78	US-2020-118038	12/9/2020	12/11/2020	First Class	KB-16600	Ken Brennan	Corporate	United States	Houston	Texas	77041	Central	OFF-ST-10000615	Office Supplies	Storage	"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"	27.24	3	0.2	2.724	24.516
79	US-2017-147606	11/26/2017	12/1/2017	Second Class	JE-15745	Joel Eaton	Consumer	United States	Houston	Texas	77070	Central	FUR-FU-10003194	Furniture	Furnishings	"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"	19.3	5	0.6	-14.475	33.775
80	CA-2019-127208	6/12/2019	6/15/2019	First Class	SC-20770	Stewart Carmichael	Corporate	United States	Decatur	Alabama	35601	South	OFF-AP-10002118	Office Supplies	Appliances	"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"	208.16	1	0	56.2032	151.9568
81	CA-2019-127208	6/12/2019	6/15/2019	First Class	SC-20770	Stewart Carmichael	Corporate	United States	Decatur	Alabama	35601	South	OFF-BI-10002309	Office Supplies	Binders	Avery Heavy-Duty EZD  Binder With Locking Rings	16.74	3	0	8.0352	8.7048
82	CA-2017-139451	10/12/2017	10/16/2017	Standard Class	DN-13690	Duane Noonan	Consumer	United States	San Francisco	California	94122	West	OFF-AR-10002053	Office Supplies	Art	"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"	14.9	5	0	4.172	10.728
83	CA-2017-139451	10/12/2017	10/16/2017	Standard Class	DN-13690	Duane Noonan	Consumer	United States	San Francisco	California	94122	West	OFF-ST-10002370	Office Supplies	Storage	"Sortfiler Multipurpose Personal File Organizer, Black"	21.39	1	0	6.2031	15.1869
84	CA-2018-149734	9/3/2018	9/8/2018	Standard Class	JC-16105	Julie Creighton	Corporate	United States	Durham	North Carolina	27707	South	OFF-EN-10000927	Office Supplies	Envelopes	Jet-Pak Recycled Peel 'N' Seal Padded Mailers	200.984	7	0.2	62.8075	138.1765
85	US-2020-119662	11/13/2020	11/16/2020	First Class	CS-12400	Christopher Schild	Home Office	United States	Chicago	Illinois	60623	Central	OFF-ST-10003656	Office Supplies	Storage	Safco Industrial Wire Shelving	230.376	3	0.2	-48.9549	279.3309
86	CA-2020-140088	5/28/2020	5/30/2020	Second Class	PO-18865	Patrick O'Donnell	Consumer	United States	Columbia	South Carolina	29203	South	FUR-CH-10000863	Furniture	Chairs	Novimex Swivel Fabric Task Chair	301.96	2	0	33.2156	268.7444
87	CA-2020-155558	10/26/2020	11/2/2020	Standard Class	PG-18895	Paul Gonzalez	Consumer	United States	Rochester	Minnesota	55901	Central	TEC-AC-10001998	Technology	Accessories	Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired	19.99	1	0	6.7966	13.1934
88	CA-2020-155558	10/26/2020	11/2/2020	Standard Class	PG-18895	Paul Gonzalez	Consumer	United States	Rochester	Minnesota	55901	Central	OFF-LA-10000134	Office Supplies	Labels	Avery 511	6.16	2	0	2.9568	3.2032
89	CA-2019-159695	4/5/2019	4/10/2019	Second Class	GM-14455	Gary Mitchum	Home Office	United States	Houston	Texas	77095	Central	OFF-ST-10003442	Office Supplies	Storage	Eldon Portable Mobile Manager	158.368	7	0.2	13.8572	144.5108
90	CA-2019-109806	9/17/2019	9/22/2019	Standard Class	JS-15685	Jim Sink	Corporate	United States	Los Angeles	California	90036	West	OFF-AR-10004930	Office Supplies	Art	Turquoise Lead Holder with Pocket Clip	20.1	3	0	6.633	13.467
91	CA-2019-109806	9/17/2019	9/22/2019	Standard Class	JS-15685	Jim Sink	Corporate	United States	Los Angeles	California	90036	West	TEC-PH-10004093	Technology	Phones	Panasonic Kx-TS550	73.584	2	0.2	8.2782	65.3058
92	CA-2019-109806	9/17/2019	9/22/2019	Standard Class	JS-15685	Jim Sink	Corporate	United States	Los Angeles	California	90036	West	OFF-PA-10000304	Office Supplies	Paper	Xerox 1995	6.48	1	0	3.1104	3.3696
93	CA-2018-149587	1/31/2018	2/5/2018	Second Class	KB-16315	Karl Braun	Consumer	United States	Minneapolis	Minnesota	55407	Central	OFF-PA-10003177	Office Supplies	Paper	Xerox 1999	12.96	2	0	6.2208	6.7392
94	CA-2018-149587	1/31/2018	2/5/2018	Second Class	KB-16315	Karl Braun	Consumer	United States	Minneapolis	Minnesota	55407	Central	FUR-FU-10003799	Furniture	Furnishings	"Seth Thomas 13 1/2"" Wall Clock"	53.34	3	0	16.5354	36.8046
95	CA-2018-149587	1/31/2018	2/5/2018	Second Class	KB-16315	Karl Braun	Consumer	United States	Minneapolis	Minnesota	55407	Central	OFF-BI-10002852	Office Supplies	Binders	Ibico Standard Transparent Covers	32.96	2	0	16.1504	16.8096
96	US-2020-109484	11/6/2020	11/12/2020	Standard Class	RB-19705	Roger Barcio	Home Office	United States	Portland	Oregon	97206	West	OFF-BI-10004738	Office Supplies	Binders	Flexible Leather- Look Classic Collection Ring Binder	5.682	1	0.7	-3.788	9.47
97	CA-2020-161018	11/9/2020	11/11/2020	Second Class	PN-18775	Parhena Norris	Home Office	United States	New York City	New York	10009	East	FUR-FU-10000629	Furniture	Furnishings	9-3/4 Diameter Round Wall Clock	96.53	7	0	40.5426	55.9874
98	CA-2020-157833	6/17/2020	6/20/2020	First Class	KD-16345	Katherine Ducich	Consumer	United States	San Francisco	California	94122	West	OFF-BI-10001721	Office Supplies	Binders	Trimflex Flexible Post Binders	51.312	3	0.2	17.9592	33.3528
99	CA-2019-149223	9/6/2019	9/11/2019	Standard Class	ER-13855	Elpida Rittenbach	Corporate	United States	Saint Paul	Minnesota	55106	Central	OFF-AP-10000358	Office Supplies	Appliances	Fellowes Basic Home/Office Series Surge Protectors	77.88	6	0	22.5852	55.2948
100	CA-2019-158568	8/29/2019	9/2/2019	Standard Class	RB-19465	Rick Bensley	Home Office	United States	Chicago	Illinois	60610	Central	OFF-PA-10003256	Office Supplies	Paper	Avery Personal Creations Heavyweight Cards	64.624	7	0.2	22.6184	42.0056
101	CA-2019-158568	8/29/2019	9/2/2019	Standard Class	RB-19465	Rick Bensley	Home Office	United States	Chicago	Illinois	60610	Central	TEC-AC-10001767	Technology	Accessories	SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card	95.976	3	0.2	-10.7973	106.7733
102	CA-2019-158568	8/29/2019	9/2/2019	Standard Class	RB-19465	Rick Bensley	Home Office	United States	Chicago	Illinois	60610	Central	OFF-BI-10002609	Office Supplies	Binders	Avery Hidden Tab Dividers for Binding Systems	1.788	3	0.8	-3.0396	4.8276
103	CA-2019-129903	12/1/2019	12/4/2019	Second Class	GZ-14470	Gary Zandusky	Consumer	United States	Rochester	Minnesota	55901	Central	OFF-PA-10004040	Office Supplies	Paper	Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)	23.92	4	0	11.7208	12.1992
104	US-2018-156867	11/13/2018	11/17/2018	Standard Class	LC-16870	Lena Cacioppo	Consumer	United States	Aurora	Colorado	80013	West	TEC-AC-10001552	Technology	Accessories	Logitech K350 2.4Ghz Wireless Keyboard	238.896	6	0.2	-26.8758	265.7718
